Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
2842,251.764176,-1.897037,251.764148,-1.897010,937,1034,937.512,1034.498,1,+220.214,1.0000,+22.2776,D.N.,-5.8571,+0.1098,0,B,5.626321,6.019838,5.522386,5.559367,5.776243,0.000000,1.695234,1.677611,5,5,5,0,8,15,79.04,0,515,3.87,C:\Users\lrf44\Desktop\M12_B.fits
2843,251.795951,-1.896926,251.795979,-1.896904,364,1036,363.495,1036.402,1,+271.966,1.0000,+24.1044,D.N.,-6.0863,+0.0962,0,B,5.916839,6.130883,6.319790,5.725574,6.795764,0.000000,2.501035,1.769840,5,5,5,0,8,15,79.04,0,500,4.10,C:\Users\lrf44\Desktop\M12_B.fits
2844,251.809592,-1.896870,251.809520,-1.896532,118,1037,119.295,1043.109,1,+1375.24,1.0000,+40.9232,D.N.,-7.8459,+0.0323,0,B,6.261104,6.233883,6.472534,5.760558,6.741649,0.000000,1.887659,1.742158,5,5,5,0,8,15,79.04,0,500,4.42,C:\Users\lrf44\Desktop\M12_B.fits
2845,251.757910,-1.896871,251.757858,-1.896810,1050,1037,1050.939,1038.094,1,+306.003,1.0000,+23.5406,D.N.,-6.2143,+0.0835,0,B,5.000434,5.002863,4.966703,4.760768,5.193400,0.000000,1.519142,1.589003,5,5,5,0,8,15,79.04,0,510,1.25,C:\Users\lrf44\Desktop\M12_B.fits
2846,251.809537,-1.896538,251.809520,-1.896532,119,1043,119.299,1043.109,1,+1375.24,1.0000,+40.9232,D.N.,-7.8459,+0.0323,0,B,6.261104,6.233883,6.472534,5.707090,6.741649,0.000000,1.887659,1.742158,5,5,5,0,8,15,79.04,0,500,0.28,C:\Users\lrf44\Desktop\M12_B.fits
2847,251.789629,-1.896871,251.789569,-1.896834,478,1037,479.088,1037.659,1,+133.472,1.0000,+21.7767,D.N.,-5.3135,+0.1771,0,B,6.060903,5.877433,6.567444,5.875555,7.215542,0.000000,2.991725,1.860574,5,5,5,0,8,15,79.04,0,506,3.93,C:\Users\lrf44\Desktop\M12_B.fits
2848,251.736505,-1.896815,251.736469,-1.896824,1436,1038,1436.658,1037.838,1,+169.413,1.0000,+18.9865,D.N.,-5.5724,+0.1217,0,B,5.069577,5.083063,5.208093,4.870288,5.480587,0.000000,1.708329,1.392706,5,5,5,0,8,15,79.04,0,504,3.19,C:\Users\lrf44\Desktop\M12_B.fits
2849,251.810147,-1.896760,251.810064,-1.896777,108,1039,109.493,1038.687,1,+312.687,1.0000,+42.6319,D.N.,-6.2378,+0.1480,0,B,6.843573,5.826042,8.794137,5.742578,10.490697,0.000000,5.725707,3.903733,5,5,5,0,8,15,79.04,0,498,4.11,C:\Users\lrf44\Desktop\M12_B.fits
2850,251.752032,-1.896871,251.751993,-1.896822,1156,1037,1156.715,1037.885,1,+98.5376,1.0000,+16.4199,D.N.,-4.9840,+0.1809,0,B,5.033303,5.213982,4.981247,4.881894,5.163173,0.000000,1.359830,1.320100,5,5,5,0,8,15,79.04,0,513,4.55,C:\Users\lrf44\Desktop\M12_B.fits
2851,251.792790,-1.896649,251.792730,-1.896635,421,1041,422.089,1041.246,1,+918.305,1.0000,+33.2748,D.N.,-7.4075,+0.0393,0,B,5.537173,4.549015,5.493136,5.719647,5.673258,0.000000,1.419587,1.387461,5,5,5,0,8,15,79.04,0,514,4.16,C:\Users\lrf44\Desktop\M12_B.fits
2852,251.764786,-1.896705,251.764957,-1.896184,926,1040,922.929,1049.399,1,+1206.76,1.0000,+37.8753,D.N.,-7.7040,+0.0341,0,B,5.434523,5.038017,5.461847,5.552699,5.670746,0.000000,1.526481,1.522968,5,5,5,0,8,15,79.04,0,512,13.88,C:\Users\lrf44\Desktop\M12_B.fits
2853,251.779869,-1.896483,251.779886,-1.896485,654,1044,653.707,1043.968,1,+248.562,1.0000,+20.8419,D.N.,-5.9886,+0.0910,0,B,5.473722,4.908619,5.381878,5.560267,5.551490,0.000000,1.363103,1.376088,5,5,5,0,8,15,79.04,0,514,4.41,C:\Users\lrf44\Desktop\M12_B.fits
2854,251.768391,-1.896539,251.768384,-1.896518,861,1043,861.124,1043.379,1,+112.416,1.0000,+19.7293,D.N.,-5.1271,+0.1905,0,B,5.355380,5.630082,5.473313,5.743265,5.801476,0.000000,1.925426,1.677654,5,5,5,0,8,15,79.04,0,508,3.36,C:\Users\lrf44\Desktop\M12_B.fits
2855,251.729352,-1.896372,251.729328,-1.896330,1565,1046,1565.431,1046.761,1,+1831.86,1.0000,+44.7844,D.N.,-8.1572,+0.0265,0,B,5.088856,5.282118,5.114925,5.124354,5.313584,0.000000,1.440742,1.331263,5,5,5,0,8,15,79.04,0,516,4.53,C:\Users\lrf44\Desktop\M12_B.fits
