15.53,SourceIntensityB,,SourceIntensityV,,Bmag,Vmag
,8447.42,,39616.8,,16.88579242,15.83652753
,128.779,,562.603,,21.42799002,20.4557209
,108.735,,396.293,,21.61167924,20.83618501
,9640.39,,19848.2,,16.74236613,16.58692319
,1939.18,,8604.77,,18.48355733,17.49437784
,3612.17,,16032.9,,17.80818219,16.8186958
,36467.8,,207960,,15.29782873,14.03627649
,9456.35,,45231.6,,16.7632938,15.69262113
,9456.35,,45231.6,,16.7632938,15.69262113
,1120.65,,3960.87,,19.07892765,18.33674954
,216.763,,418.94,,20.86263976,20.77584644
,1056.91,,3676.84,,19.14250762,18.41753918
,1056.91,,3668.11,,19.14250762,18.42012013
,13590.7,,24079.8,,16.36949808,16.37709382
,1489.26,,5825.24,,18.77017633,17.91794145
,842.286,,3070.67,,19.38895369,18.61314314
,842.333,,3068.93,,19.3888931,18.61375855
,215.416,,1074.66,,20.86940775,19.7530483
,22221.6,,45908.6,,15.83566433,15.67649089
,3612.17,,16033.3,,17.80818219,16.81866871
,481.89,,1856.5,,19.99523286,19.15948862
,311.843,,422.597,,20.46776264,20.76640998
,417.359,,1446.18,,20.15132818,19.43067013
,36467.8,,207681,,15.29782873,14.03773409
,36491.7,,207960,,15.2971174,14.03627649
,4859.36,,21913.6,,17.48615495,16.47944168
,4041.46,,16955.6,,17.68625693,16.7579431
,135.053,,606.921,,21.37634205,20.3733956
,139.734,,612.445,,21.33934741,20.36355827
,1185.03,,4428.31,,19.01827928,18.21563097
,1466.75,,5500.3,,18.7867124,17.98026006
,1466.75,,5499.85,,18.7867124,17.9803489
,1489.41,,5827.59,,18.77006698,17.91750353
,215.335,,819.156,,20.86981608,20.04780947
,247.344,,980.273,,20.71934919,19.85285841
,247.222,,980.273,,20.71988485,19.85285841
,421.081,,1579.03,,20.14168853,19.33525005
,421.62,,1576.02,,20.14029963,19.3373217
,3549.25,,15942,,17.82726116,16.824869
,1222.8,,4428.31,,18.98421407,18.21563097
,1185.39,,3425.42,,19.01794949,18.49444144
,345.978,,1412.68,,20.35498143,19.45611652
,255.853,,986.241,,20.68262636,19.84626838
,311.289,,1254.69,,20.46969321,19.58488492
,45.0398,,347.06,,22.56861151,20.9802146
,4371.97,,20566.9,,17.60090971,16.54830392
,9440.38,,45231.6,,16.76512895,15.69262113
,1563.85,,5949.44,,18.7171149,17.89503579
,1564.09,,5949.44,,18.71694829,17.89503579
,2377.08,,10277.9,,18.26249315,17.30146504
,3627.89,,3175.43,,17.80346736,18.57671965
,3628.09,,16548.4,,17.80340751,16.78433598
,3622.68,,16567.4,,17.80502771,16.78309011
,303.461,,1237.83,,20.49734543,19.5995735
,169.128,,890.705,,21.13206386,19.95689128
,247.089,,980.82,,20.72046911,19.85225273
,264.805,,1144.66,,20.64528719,19.68453474
,265.192,,1142.95,,20.64370159,19.68615793
,33272.8,,78298.6,,15.39737927,15.09684102
,807.601,,2811.6,,19.43461052,18.70884217
,461.667,,1724.23,,20.04178056,19.23973802
,554.616,,1971.2,,19.84262166,19.09439928
,2497.44,,9649.1,,18.20886498,17.37000899
,33272.8,,78298.6,,15.39737927,15.09684102
,1154.08,,4473.76,,19.04701285,18.2045443
,5727.68,,23875.2,,17.30765577,16.38635846
,1937.89,,7695.83,,18.48427984,17.61558734
,1937.89,,7698.25,,18.48427984,17.61524598
,19441.6,,49749.4,,15.98077263,15.58925639
,5727.68,,23737.9,,17.30765577,16.39262027
,1580.3,,6409.73,,18.70575379,17.81412667
,222.362,,813.419,,20.83495121,20.05544023
,1022.97,,3623.28,,19.1779454,18.43347127
,3620.16,,17951.3,,17.80578323,16.69598625
,239.869,,1060.43,,20.75266733,19.76752099
,89.5384,,418.176,,21.82257932,20.77782825
,348.663,,1313.48,,20.34658798,19.53516735
,33272.8,,77914.8,,15.39737927,15.10217611
,33272.4,,77914.8,,15.39739232,15.10217611
,588.5,,2272.75,,19.77823647,18.93984684
,898.607,,3248.95,,19.31867815,18.55186844
,17241.9,,84387.1,,16.11113984,15.01553585
,17233.8,,84387.1,,16.11165002,15.01553585
,17241.9,,84408,,16.11113984,15.01526698
,2034.49,,6375.2,,18.43146374,17.81999147
,656.686,,2208.91,,19.65920825,18.97078095
,385.307,,1646.53,,20.23808539,19.28980189
,1416.41,,5461.09,,18.82463018,17.98802767
,62.9809,,314.393,,22.20458048,21.08754384
,3856.98,,13983.1,,17.73698417,16.96721735
,3120.18,,11353.2,,17.96715352,17.19343029
,3082.62,,11115.9,,17.98030266,17.21636443
,131.838,,630.06,,21.40250113,20.33277124
,76.7039,,295.77,,21.99055903,21.1538407
,5005.42,,25079.9,,17.45400133,16.33291151
,2964.54,,11504.5,,18.02270935,17.17905664
,1014.36,,3848.26,,19.18712235,18.36806499
,1337.83,,4759.8,,18.88660031,18.13725425
,433.5,,1559.59,,20.11012989,19.3486999
,54.0799,,364.366,,22.37001294,20.9273814
,285.521,,972.98,,20.5635075,19.86096622
,13815.9,,27426.4,,16.35165469,16.23580399
,13825.6,,27524.3,,16.35089267,16.2319353
,1342.04,,4873.1,,18.88318899,18.1117127
,1219.76,,4446.85,,18.98691667,18.21109481
,404.963,,1581.42,,20.18406428,19.33360794
,404.793,,1569.01,,20.18452016,19.34216173
,205.915,,833.255,,20.91838268,20.02928119
,2423.1,,9315.38,,18.2416743,17.40822457
,2424.98,,9313.34,,18.24083224,17.40846236
,66152.1,,485773,,14.65124355,13.11514258
,763.871,,2776.91,,19.49505258,18.7223215
,1074.1,,4413.37,,19.12499085,18.21930016
,15677.1,,77876.9,,16.21443832,15.10270437
,2424.98,,9313.34,,18.24083224,17.40846236
,1341.26,,4952.57,,18.88382021,18.09414945
,760.647,,3275.81,,19.49964475,18.54292925
,113.709,,519.575,,21.56311554,20.54210539
,125.712,,521.359,,21.4541608,20.53838382
,1070.57,,3887.98,,19.12856497,18.35691595
,661.411,,2464.33,,19.65142411,18.85197885
,200.361,,938.8,,20.94806966,19.89979331
,200.361,,935.242,,20.94806966,19.903916
,5216.38,,9772.66,,17.40917959,17.35619403
,1012.85,,3384.95,,19.18873981,18.50734536
,999.329,,3384.95,,19.20333141,18.50734536
,270.063,,1214.73,,20.62393992,19.62002661
,9939.84,,48035.3,,16.70915416,15.62732474
,2148.41,,8452.28,,18.37230973,17.51379132
,2152.37,,8429.31,,18.37031032,17.51674594
,243.042,,862.533,,20.73839931,19.99178671
,3232.46,,15115.2,,17.92876974,16.88269126
,2770.02,,11429.9,,18.09639538,17.18611993
,2770.02,,11405.2,,18.09639538,17.18846874
,66104.2,,486048,,14.65203001,13.11452811
,661.411,,2465.54,,19.65142411,18.85144588
,270.473,,1219.5,,20.62229285,19.6157715
,129.689,,652.348,,21.42034479,20.29502767
,66152.1,,486048,,14.65124355,13.11452811
,377.157,,1434.71,,20.26129721,19.43931569
,1180.72,,4145.67,,19.02223534,18.28723919
,7486.6,,34644.4,,17.01689107,15.9821434
,1025.7,,3520.14,,19.17505175,18.46482617
,1101.88,,3994.2,,19.09726689,18.32765149
,1101.88,,3992.29,,19.09726689,18.32817081
